project_id,number_of_khasra_parcels,number_of_landowners,percent_land_clear_title,percent_land_disputed_ownership,percent_absentee_landowners,land_record_digitization_status,mutation_pending_percent,encumbrance_certificate_status,consent_percent_obtained,gazette_notification_status,document_completeness_percent,record_last_updated_date
SIH26017-PRJ-000424,521,297,93.3,6.5,7.5,Not Digitized,5.0,Clear,,Final Issued,84.3,2026-08-15
SIH26017-PRJ-000425,117,93,66.1,39.5,38.0,Fully Digitized,5.0,Pending,,Final Issued,81.5,2026-08-15
SIH26017-PRJ-000426,95,53,64.3,36.7,10.4,Fully Digitized,18.4,Pending,,Final Issued,65.9,2025-12-15
SIH26017-PRJ-000427,1387,985,42.1,49.5,29.9,Not Digitized,70.7,Pending,65.6,Not Issued,1.1,2017-01-13
SIH26017-PRJ-000428,2396,2073,71.6,29.3,17.1,Not Digitized,5.0,Pending,48.5,Final Issued,74.9,2026-08-15
SIH26017-PRJ-000429,2837,2283,62.1,32.9,19.6,Not Digitized,5.0,Pending,,Final Issued,68.9,2026-08-15
SIH26017-PRJ-000430,143,92,53.7,42.0,11.3,Partially Digitized,5.0,Pending,,Final Issued,85.9,2026-08-15
SIH26017-PRJ-000431,2594,2268,79.9,20.8,13.6,Partially Digitized,5.0,Clear,,Final Issued,86.5,2026-08-15
SIH26017-PRJ-000432,2746,1528,53.4,53.3,20.5,Partially Digitized,38.0,Pending,47.6,Final Issued,60.5,2024-07-05
SIH26017-PRJ-000433,911,737,52.8,39.2,29.3,Fully Digitized,5.0,Pending,,Final Issued,66.3,2026-08-15
SIH26017-PRJ-000434,3169,2730,75.0,25.9,20.3,Fully Digitized,59.7,Pending,54.1,Not Issued,26.0,2019-01-11
SIH26017-PRJ-000435,513,394,63.2,38.3,20.1,Not Digitized,5.0,Pending,,Final Issued,57.2,2026-08-15
SIH26017-PRJ-000436,49,32,98.5,1.8,24.2,Fully Digitized,5.0,Clear,,Final Issued,91.0,2026-08-15
SIH26017-PRJ-000437,319,282,73.3,30.1,14.6,Partially Digitized,5.0,Pending,,Final Issued,86.2,2026-08-15
SIH26017-PRJ-000438,2458,1844,72.4,30.2,28.8,Partially Digitized,5.0,Pending,,Final Issued,68.1,2026-08-15
SIH26017-PRJ-000439,969,641,69.7,24.0,19.7,Partially Digitized,28.3,Pending,,Final Issued,53.6,2025-02-09
SIH26017-PRJ-000440,4471,2678,72.0,21.8,20.0,Fully Digitized,5.0,Pending,,Final Issued,64.7,2026-08-01
SIH26017-PRJ-000441,1614,923,69.1,33.7,18.4,Not Digitized,5.0,Pending,,Final Issued,79.7,2026-08-15
SIH26017-PRJ-000442,186,137,74.5,32.8,23.7,Partially Digitized,5.0,Pending,,Final Issued,100.0,2026-08-15
SIH26017-PRJ-000443,270,202,78.2,25.1,10.8,Fully Digitized,5.0,Clear,,Final Issued,67.3,2026-08-15
SIH26017-PRJ-000444,46,44,66.9,35.1,11.5,Not Digitized,46.6,Pending,,Draft Issued,34.3,2024-10-06
SIH26017-PRJ-000445,515,308,57.3,41.0,14.8,Not Digitized,5.0,Pending,,Final Issued,66.4,2026-08-15
SIH26017-PRJ-000446,95,64,76.5,24.1,12.7,Partially Digitized,5.0,Clear,,Final Issued,89.5,2026-08-15
SIH26017-PRJ-000447,3646,2526,79.9,28.9,12.9,Fully Digitized,57.8,Clear,79.9,Not Issued,24.8,2023-04-07
SIH26017-PRJ-000448,1870,1514,71.4,33.1,20.6,Fully Digitized,28.6,Pending,37.3,Final Issued,64.7,2025-05-07
SIH26017-PRJ-000449,215,174,100.0,0.7,11.0,Not Digitized,5.0,Clear,,Final Issued,98.1,2026-08-15
SIH26017-PRJ-000450,109,67,73.7,28.8,16.1,Not Digitized,57.9,Pending,,Not Issued,12.0,2022-11-01
SIH26017-PRJ-000451,5939,3556,73.9,27.3,16.9,Partially Digitized,56.4,Pending,40.5,Draft Issued,32.1,2021-12-23
SIH26017-PRJ-000452,156,115,75.0,20.6,15.7,Fully Digitized,11.2,Pending,,Final Issued,89.7,2026-04-21
SIH26017-PRJ-000453,49,42,65.3,39.6,15.9,Fully Digitized,5.0,Pending,,Final Issued,65.9,2026-08-15
SIH26017-PRJ-000454,1250,739,52.7,49.7,28.9,Not Digitized,80.0,Pending,,Not Issued,26.4,2022-05-01
SIH26017-PRJ-000455,988,589,61.3,35.5,17.5,Partially Digitized,5.0,Pending,38.0,Final Issued,72.7,2026-08-15
SIH26017-PRJ-000456,10,6,71.9,31.1,18.7,Partially Digitized,5.0,Pending,,Final Issued,68.8,2026-08-15
SIH26017-PRJ-000457,1553,869,61.9,34.5,13.2,Partially Digitized,40.9,Pending,65.4,Final Issued,55.1,2024-10-06
SIH26017-PRJ-000458,124,123,51.1,45.2,23.4,Fully Digitized,5.0,Pending,,Final Issued,60.6,2026-08-15
SIH26017-PRJ-000459,573,449,80.5,21.0,8.8,Partially Digitized,21.4,Clear,,Final Issued,72.5,2026-02-15
SIH26017-PRJ-000460,4,3,74.2,25.1,14.2,Partially Digitized,5.0,Pending,,Final Issued,63.1,2026-08-15
SIH26017-PRJ-000461,286,185,63.4,42.3,9.0,Partially Digitized,51.0,Pending,,Not Issued,33.3,2024-07-15
SIH26017-PRJ-000462,954,687,66.4,28.9,14.1,Partially Digitized,45.5,Pending,,Final Issued,53.1,2025-01-11
SIH26017-PRJ-000463,109,101,62.1,48.1,5.9,Not Digitized,5.0,Pending,,Final Issued,79.9,2026-08-15
SIH26017-PRJ-000464,160,154,81.0,20.0,13.1,Partially Digitized,5.0,Clear,,Final Issued,85.4,2026-08-15
SIH26017-PRJ-000465,2849,2484,57.1,44.8,12.6,Not Digitized,75.1,Pending,49.5,Not Issued,13.4,2020-08-31
SIH26017-PRJ-000466,303,217,48.8,46.9,20.3,Partially Digitized,5.0,Pending,,Final Issued,84.7,2026-08-15
SIH26017-PRJ-000467,762,627,67.6,33.5,10.5,Fully Digitized,67.1,Pending,,Draft Issued,36.4,2023-10-18
SIH26017-PRJ-000468,100,72,82.4,15.9,30.2,Not Digitized,5.0,Clear,,Final Issued,75.3,2026-08-15
SIH26017-PRJ-000469,61,52,73.5,30.2,19.8,Partially Digitized,11.1,Pending,,Final Issued,81.5,2026-04-16
SIH26017-PRJ-000470,2024,1540,65.9,27.5,14.8,Fully Digitized,52.7,Pending,,Final Issued,48.7,2023-03-15
SIH26017-PRJ-000471,217,131,58.7,37.5,4.7,Fully Digitized,54.5,Pending,,Not Issued,14.1,2024-12-18
SIH26017-PRJ-000472,197,154,62.0,37.6,14.8,Not Digitized,5.0,Pending,,Final Issued,94.2,2026-08-15
SIH26017-PRJ-000473,153,96,93.2,4.4,8.0,Fully Digitized,5.0,Clear,,Final Issued,82.6,2026-08-15
SIH26017-PRJ-000474,8,6,96.2,0.9,8.9,Fully Digitized,5.0,Clear,,Final Issued,79.2,2026-08-15
SIH26017-PRJ-000475,3625,3457,51.7,50.5,5.1,Partially Digitized,5.0,Pending,59.0,Final Issued,86.2,2026-08-15
SIH26017-PRJ-000476,991,711,80.1,24.5,15.0,Fully Digitized,5.0,Clear,,Final Issued,71.8,2026-08-15
SIH26017-PRJ-000477,148,96,63.8,41.8,19.4,Partially Digitized,5.0,Pending,,Final Issued,66.5,2026-08-15
SIH26017-PRJ-000478,1874,1346,60.4,36.0,21.2,Partially Digitized,78.6,Pending,,Not Issued,25.8,2019-04-27
SIH26017-PRJ-000479,111,68,80.9,13.8,4.9,Fully Digitized,23.2,Clear,,Final Issued,73.6,2026-02-16
SIH26017-PRJ-000480,52,47,68.3,33.1,17.9,Partially Digitized,5.0,Pending,,Final Issued,67.1,2026-08-15
SIH26017-PRJ-000481,2225,1496,69.8,33.2,3.8,Partially Digitized,5.0,Pending,60.9,Final Issued,52.0,2026-08-15
SIH26017-PRJ-000482,2981,1690,80.1,28.0,12.9,Partially Digitized,5.0,Clear,,Final Issued,70.8,2026-08-15
SIH26017-PRJ-000483,164,104,59.4,41.6,6.7,Fully Digitized,84.6,Pending,,Not Issued,11.5,2018-07-17
SIH26017-PRJ-000484,418,247,60.5,37.3,21.4,Not Digitized,5.0,Pending,59.6,Final Issued,65.0,2026-08-15
SIH26017-PRJ-000485,420,311,82.6,14.6,18.1,Not Digitized,5.0,Clear,,Final Issued,76.3,2026-08-15
SIH26017-PRJ-000486,283,227,60.2,42.3,20.6,Fully Digitized,29.3,Pending,,Final Issued,42.9,2025-05-03
SIH26017-PRJ-000487,1648,1468,78.7,21.5,14.8,Partially Digitized,5.0,Clear,,Final Issued,63.4,2026-08-15
SIH26017-PRJ-000488,246,169,75.1,28.5,19.9,Partially Digitized,5.0,Clear,,Final Issued,73.2,2026-08-15
SIH26017-PRJ-000489,955,654,66.2,31.3,20.8,Fully Digitized,5.0,Pending,57.1,Final Issued,79.2,2026-08-15
SIH26017-PRJ-000490,138,135,32.8,55.8,17.4,Partially Digitized,75.6,Encumbered,,Not Issued,1.3,2016-08-23
SIH26017-PRJ-000491,591,382,76.9,26.8,19.0,Partially Digitized,34.2,Clear,74.2,Final Issued,64.4,2025-08-24
SIH26017-PRJ-000492,273,241,54.9,38.5,13.9,Partially Digitized,83.3,Pending,,Not Issued,12.8,2018-08-10
SIH26017-PRJ-000493,644,380,77.8,18.2,12.8,Partially Digitized,5.0,Clear,,Final Issued,68.4,2026-08-15
SIH26017-PRJ-000494,657,435,77.4,22.3,20.0,Not Digitized,29.7,Clear,,Final Issued,76.6,2025-12-30
SIH26017-PRJ-000495,48,28,80.6,14.9,15.3,Fully Digitized,5.0,Clear,,Final Issued,73.8,2026-08-15
SIH26017-PRJ-000496,2164,1911,58.7,44.2,16.4,Fully Digitized,11.4,Pending,,Final Issued,84.1,2025-09-28
SIH26017-PRJ-000497,1924,1306,46.3,54.9,14.2,Not Digitized,39.4,Pending,,Final Issued,58.6,2025-04-13
SIH26017-PRJ-000498,227,176,65.2,28.3,14.2,Partially Digitized,5.0,Pending,,Final Issued,77.4,2026-08-15
SIH26017-PRJ-000499,85,59,95.2,0.0,0.4,Partially Digitized,5.0,Clear,,Final Issued,74.1,2026-08-15
SIH26017-PRJ-000500,1481,1333,57.8,42.2,11.5,Partially Digitized,32.8,Pending,,Final Issued,57.1,2025-08-16
SIH26017-PRJ-000501,1187,1111,76.0,29.1,14.8,Fully Digitized,5.0,Clear,53.3,Final Issued,87.0,2026-07-15
SIH26017-PRJ-000502,59,35,71.6,29.9,4.2,Not Digitized,5.0,Pending,,Final Issued,83.1,2026-08-15
SIH26017-PRJ-000503,233,148,84.4,7.7,15.8,Fully Digitized,5.0,Clear,,Final Issued,86.1,2026-08-15
SIH26017-PRJ-000504,28,16,71.9,28.0,17.2,Fully Digitized,5.0,Pending,,Final Issued,75.2,2026-08-15
SIH26017-PRJ-000505,3355,1973,39.2,60.5,21.2,Fully Digitized,34.4,Encumbered,67.6,Final Issued,62.5,2023-02-11
SIH26017-PRJ-000506,1234,924,69.7,38.0,20.2,Fully Digitized,5.0,Pending,64.1,Final Issued,78.2,2026-08-15
SIH26017-PRJ-000507,924,545,77.3,17.2,0.0,Fully Digitized,5.0,Clear,,Final Issued,75.5,2026-08-15
SIH26017-PRJ-000508,255,189,66.9,33.0,12.6,Fully Digitized,31.5,Pending,,Final Issued,59.8,2025-11-10
SIH26017-PRJ-000509,1652,1024,60.7,40.8,20.7,Not Digitized,72.8,Pending,43.7,Not Issued,1.2,2021-01-07
SIH26017-PRJ-000510,94,57,67.2,32.2,18.5,Fully Digitized,5.0,Pending,,Final Issued,87.5,2026-08-15
SIH26017-PRJ-000511,166,148,58.8,42.6,15.0,Partially Digitized,80.7,Pending,,Not Issued,12.5,2020-03-09
SIH26017-PRJ-000512,443,309,72.4,27.1,26.4,Partially Digitized,40.4,Pending,,Draft Issued,45.5,2025-03-04
SIH26017-PRJ-000513,1511,1066,63.2,40.7,29.4,Partially Digitized,5.0,Pending,,Final Issued,74.7,2026-08-15
SIH26017-PRJ-000514,1474,1126,92.7,7.6,13.5,Not Digitized,5.0,Clear,68.9,Final Issued,82.7,2026-08-15
SIH26017-PRJ-000515,2209,1562,76.4,31.6,25.0,Not Digitized,23.7,Clear,51.6,Final Issued,53.9,2025-01-18
SIH26017-PRJ-000516,3801,3102,57.3,40.9,24.1,Not Digitized,37.0,Pending,47.5,Final Issued,43.5,2024-09-09
SIH26017-PRJ-000517,275,177,82.1,15.5,15.1,Fully Digitized,5.0,Clear,,Final Issued,82.3,2026-08-15
SIH26017-PRJ-000518,1478,1085,60.9,37.6,22.4,Partially Digitized,44.1,Pending,,Draft Issued,27.1,2025-04-17
SIH26017-PRJ-000519,646,372,69.9,28.0,23.4,Partially Digitized,50.7,Pending,,Final Issued,48.1,2023-03-23
SIH26017-PRJ-000520,242,161,63.4,37.2,14.9,Fully Digitized,35.8,Pending,,Final Issued,57.5,2022-09-30
SIH26017-PRJ-000521,171,110,70.1,20.5,28.8,Not Digitized,62.9,Pending,,Not Issued,1.3,2024-04-28
SIH26017-PRJ-000522,218,169,93.3,14.2,29.1,Fully Digitized,5.0,Clear,,Final Issued,74.6,2026-08-15
SIH26017-PRJ-000523,200,185,71.9,32.7,26.5,Fully Digitized,5.0,Pending,,Final Issued,74.3,2026-08-15
SIH26017-PRJ-000524,2249,1384,55.6,49.7,7.3,Not Digitized,54.6,Pending,,Not Issued,31.7,2025-01-05
SIH26017-PRJ-000525,32,27,72.0,29.5,15.1,Partially Digitized,5.0,Pending,,Final Issued,84.7,2026-08-15
SIH26017-PRJ-000526,82,71,81.7,15.9,19.8,Fully Digitized,79.9,Clear,,Not Issued,12.5,2019-02-21
SIH26017-PRJ-000527,480,461,48.6,47.9,0.0,Partially Digitized,5.0,Pending,,Final Issued,79.4,2026-08-15
SIH26017-PRJ-000528,6000,4500,67.3,45.1,35.4,Fully Digitized,5.0,Pending,62.3,Final Issued,66.4,2026-08-15
SIH26017-PRJ-000529,132,89,69.8,28.6,8.6,Partially Digitized,45.9,Pending,,Final Issued,60.5,2025-10-24
SIH26017-PRJ-000530,234,134,60.1,31.2,12.3,Partially Digitized,5.0,Pending,,Final Issued,62.7,2026-08-15
SIH26017-PRJ-000531,1992,1705,61.3,37.0,17.7,Fully Digitized,5.0,Pending,70.2,Final Issued,71.7,2026-08-15
SIH26017-PRJ-000532,1594,1363,67.9,30.3,19.6,Fully Digitized,5.0,Pending,59.3,Final Issued,69.7,2026-08-15
SIH26017-PRJ-000533,661,543,57.7,36.0,6.8,Fully Digitized,5.0,Pending,64.6,Final Issued,74.2,2026-08-15
SIH26017-PRJ-000534,73,54,69.7,35.1,9.3,Partially Digitized,45.9,Pending,,Not Issued,34.2,2025-06-18
SIH26017-PRJ-000535,38,27,50.7,41.4,12.6,Partially Digitized,64.6,Pending,,Not Issued,22.7,2024-08-31
SIH26017-PRJ-000536,1900,1621,58.7,45.6,9.3,Partially Digitized,5.3,Pending,,Final Issued,75.7,2026-05-11
SIH26017-PRJ-000537,699,625,73.3,24.1,10.5,Partially Digitized,5.0,Pending,,Final Issued,68.9,2026-08-15
SIH26017-PRJ-000538,5390,3150,67.0,35.7,20.2,Fully Digitized,45.4,Pending,76.8,Draft Issued,49.3,2024-12-31
SIH26017-PRJ-000539,768,696,56.4,37.7,9.9,Not Digitized,5.0,Pending,,Final Issued,66.8,2026-08-15
SIH26017-PRJ-000540,20,14,76.0,12.1,18.6,Partially Digitized,5.0,Clear,,Final Issued,80.7,2026-08-15
SIH26017-PRJ-000541,312,195,53.7,45.2,15.7,Partially Digitized,5.0,Pending,,Final Issued,78.7,2026-08-15
SIH26017-PRJ-000542,2518,1439,56.5,37.4,25.4,Fully Digitized,47.1,Pending,,Final Issued,39.8,2022-10-11
SIH26017-PRJ-000543,121,103,78.0,22.4,18.8,Fully Digitized,24.4,Clear,,Final Issued,52.8,2025-05-04
SIH26017-PRJ-000544,327,319,72.3,27.8,3.6,Partially Digitized,5.0,Pending,,Final Issued,80.9,2026-08-15
SIH26017-PRJ-000545,4570,2683,72.1,32.4,17.4,Partially Digitized,25.8,Pending,66.5,Final Issued,56.5,2024-02-24
SIH26017-PRJ-000546,12,11,68.3,33.6,9.0,Fully Digitized,11.4,Pending,,Final Issued,88.0,2026-02-19
SIH26017-PRJ-000547,169,131,68.0,34.5,27.2,Fully Digitized,85.5,Pending,,Not Issued,10.8,2018-07-09
SIH26017-PRJ-000548,11,8,78.4,22.0,9.0,Partially Digitized,5.0,Clear,,Final Issued,86.6,2026-08-15
SIH26017-PRJ-000549,4023,3264,56.1,50.8,26.1,Partially Digitized,20.8,Pending,49.0,Final Issued,65.4,2025-01-12
SIH26017-PRJ-000550,237,231,59.4,42.3,13.4,Partially Digitized,70.7,Pending,,Not Issued,24.0,2024-04-11
SIH26017-PRJ-000551,445,318,69.6,36.1,9.3,Partially Digitized,32.4,Pending,,Final Issued,64.2,2025-07-02
SIH26017-PRJ-000552,246,144,80.5,19.8,0.2,Partially Digitized,5.0,Clear,,Final Issued,96.4,2026-08-15
SIH26017-PRJ-000553,547,328,68.0,34.4,18.7,Not Digitized,5.0,Pending,47.5,Final Issued,71.0,2026-08-15
SIH26017-PRJ-000554,198,141,67.5,35.6,18.6,Fully Digitized,19.9,Pending,,Final Issued,72.7,2024-03-08
SIH26017-PRJ-000555,152,86,55.8,37.3,10.7,Partially Digitized,40.4,Pending,,Final Issued,50.9,2025-08-15
SIH26017-PRJ-000556,6000,4500,69.1,29.7,24.3,Partially Digitized,10.5,Pending,49.4,Final Issued,80.6,2026-02-08
SIH26017-PRJ-000557,4415,2547,67.4,24.6,19.6,Fully Digitized,69.3,Pending,31.8,Not Issued,1.2,2019-06-08
SIH26017-PRJ-000558,1285,877,73.0,33.1,13.6,Partially Digitized,5.0,Pending,,Final Issued,85.2,2026-08-15
SIH26017-PRJ-000559,4627,3743,65.3,32.4,28.5,Not Digitized,57.3,Pending,46.0,Draft Issued,40.8,2025-08-03
SIH26017-PRJ-000560,461,360,73.2,19.7,16.7,Fully Digitized,5.0,Pending,,Final Issued,82.4,2026-08-15
SIH26017-PRJ-000561,2437,1534,66.9,33.0,12.6,Partially Digitized,64.4,Pending,,Not Issued,20.9,2024-10-19
SIH26017-PRJ-000562,5488,3627,71.1,27.3,22.0,Partially Digitized,95.0,Pending,53.5,Not Issued,1.2,2021-04-30
SIH26017-PRJ-000563,6000,3963,66.0,31.2,27.0,Not Digitized,70.3,Pending,64.8,Not Issued,1.1,2022-12-02
SIH26017-PRJ-000564,827,704,66.9,35.2,18.8,Fully Digitized,78.3,Pending,,Not Issued,11.9,2021-09-20
SIH26017-PRJ-000565,1117,669,53.9,47.3,20.9,Partially Digitized,5.0,Pending,,Final Issued,76.0,2026-08-15
SIH26017-PRJ-000566,2393,2041,71.4,27.0,15.2,Fully Digitized,5.0,Pending,62.8,Final Issued,67.1,2026-08-15
SIH26017-PRJ-000567,31,26,85.7,17.0,11.6,Partially Digitized,5.0,Clear,,Final Issued,84.8,2026-08-15
SIH26017-PRJ-000568,2836,1730,72.8,24.3,16.5,Partially Digitized,50.5,Pending,,Final Issued,46.4,2022-07-23
SIH26017-PRJ-000569,1568,1349,57.0,48.5,8.9,Fully Digitized,21.3,Pending,,Final Issued,54.9,2025-08-14
SIH26017-PRJ-000570,4968,3387,51.5,47.2,16.5,Not Digitized,59.1,Pending,51.0,Not Issued,23.6,2022-01-24
SIH26017-PRJ-000571,3651,2438,54.2,43.3,12.4,Partially Digitized,5.0,Pending,47.3,Final Issued,65.6,2026-08-15
SIH26017-PRJ-000572,190,149,74.2,25.9,17.6,Partially Digitized,50.3,Pending,,Draft Issued,34.7,2025-06-06
SIH26017-PRJ-000573,21,18,76.7,15.7,7.3,Fully Digitized,5.0,Clear,,Final Issued,98.4,2026-08-15
SIH26017-PRJ-000574,61,51,71.6,30.4,14.3,Partially Digitized,5.0,Pending,,Final Issued,67.7,2026-08-15
SIH26017-PRJ-000575,41,31,80.6,16.8,8.9,Partially Digitized,75.0,Clear,,Not Issued,14.5,2024-06-08
SIH26017-PRJ-000576,220,199,58.9,37.8,16.8,Partially Digitized,5.0,Pending,,Final Issued,90.3,2026-08-15
SIH26017-PRJ-000577,491,309,71.9,20.2,13.5,Partially Digitized,5.0,Pending,,Final Issued,72.5,2026-08-15
SIH26017-PRJ-000578,173,129,88.1,13.6,0.3,Not Digitized,5.0,Clear,,Final Issued,87.1,2026-08-15
SIH26017-PRJ-000579,376,211,71.2,26.1,14.4,Partially Digitized,5.0,Pending,,Final Issued,83.3,2026-08-15
SIH26017-PRJ-000580,521,363,71.5,27.4,11.3,Not Digitized,67.9,Pending,,Not Issued,21.7,2025-02-06
SIH26017-PRJ-000581,271,227,74.8,16.1,2.5,Fully Digitized,5.0,Pending,59.1,Final Issued,92.6,2026-08-15
SIH26017-PRJ-000582,1982,1496,94.7,8.4,8.9,Partially Digitized,25.0,Clear,52.5,Final Issued,59.8,2024-12-11
SIH26017-PRJ-000583,160,104,72.1,24.9,9.7,Fully Digitized,5.0,Pending,,Final Issued,76.1,2026-08-15
SIH26017-PRJ-000584,1876,1285,75.1,22.3,9.8,Fully Digitized,5.0,Clear,,Final Issued,80.6,2026-08-15
SIH26017-PRJ-000585,199,133,70.1,30.8,14.6,Partially Digitized,20.0,Pending,,Final Issued,59.8,2024-12-21
SIH26017-PRJ-000586,351,332,59.8,40.6,9.9,Partially Digitized,19.2,Pending,,Final Issued,86.3,2025-07-05
SIH26017-PRJ-000587,732,676,67.7,28.9,12.4,Fully Digitized,5.0,Pending,79.3,Final Issued,85.2,2026-08-15
SIH26017-PRJ-000588,23,21,82.0,28.9,14.7,Partially Digitized,59.6,Clear,,Draft Issued,37.7,2024-11-04
SIH26017-PRJ-000589,3799,2356,51.9,30.0,9.9,Not Digitized,76.6,Pending,64.3,Not Issued,1.2,2024-04-10
SIH26017-PRJ-000590,123,101,55.0,41.1,16.5,Fully Digitized,5.0,Pending,,Final Issued,78.5,2026-08-15
SIH26017-PRJ-000591,245,216,78.1,20.0,18.6,Partially Digitized,76.3,Clear,,Not Issued,11.1,2022-07-21
SIH26017-PRJ-000592,1882,1769,71.2,33.6,13.4,Partially Digitized,42.0,Pending,55.8,Final Issued,52.6,2025-10-21
SIH26017-PRJ-000593,39,36,77.0,20.0,9.0,Fully Digitized,5.0,Clear,,Final Issued,98.8,2026-08-15
SIH26017-PRJ-000594,4023,3266,64.4,30.9,14.6,Partially Digitized,5.0,Pending,62.9,Final Issued,65.3,2026-08-15
SIH26017-PRJ-000595,194,147,61.7,48.1,20.9,Partially Digitized,5.0,Pending,,Final Issued,91.8,2026-08-15
SIH26017-PRJ-000596,539,529,57.1,41.7,10.8,Fully Digitized,5.0,Pending,,Final Issued,71.4,2026-08-15
SIH26017-PRJ-000597,1571,959,63.5,38.4,10.6,Partially Digitized,5.0,Pending,73.9,Final Issued,73.0,2026-08-15
SIH26017-PRJ-000598,51,47,56.4,47.1,6.5,Fully Digitized,5.0,Pending,,Final Issued,79.9,2026-08-15
SIH26017-PRJ-000599,102,62,66.1,32.1,12.8,Not Digitized,5.0,Pending,,Final Issued,61.3,2026-08-15
SIH26017-PRJ-000600,171,152,73.5,29.0,9.2,Fully Digitized,21.1,Pending,,Final Issued,79.9,2026-03-22
